sp_5	sp_6_1	sp_6_2	Em1glen	Em2glen	Em3glen	9_1_1	9_6	MdEm1	MdEm2	MdEm3	8_6	8_7
TRINITY_DN3405_c0_g1	3.58321011832884	3.16253907693379	2.124725902952	0	0.159665346047483	0	1.20840801858601	0	3.19888269270912	3.34087560781844	2.97825316074662	0	0
TRINITY_DN10135_c1_g2	0.672477107017765	0	1.77717138624862	0.156664837429027	0	0	0	0	2.42139863878421	1.41164321277935	1.24857299673088	0	0
TRINITY_DN18739_c0_g3	0	0	0	1.10237072740075	1.16532498791279	1.30506722386446	2.09662030368592	2.46558443842182	0.795234880014533	1.04014164341521	0.991788102527158	0	0
TRINITY_DN16599_c0_g1	4.62948995052057	5.80325354569175	5.30257834103266	4.52505323640526	5.99647991804559	4.82611911959509	0	0	3.28003608484854	3.34087560781844	3.89399113822608	1.69624303938756	0
TRINITY_DN17119_c0_g1	2.7314370526204	2.3747161944927	3.23312198820379	5.64658582605966	5.73002739428314	5.56182217956155	3.7498386134186	1.70564765655446	5.85164858899102	4.77939768290441	5.63492586970067	3.6091401731156	6.13273577855207
TRINITY_DN21501_c3_g5	0	0	0.457822162173504	1.09851177558961	0.434117364278847	0.633891580355721	0	0	0.936505316984063	0.391025302724142	1.0184177371566	0	0
TRINITY_DN14434_c0_g1	7.15004382378395	7.04474792142026	6.59963019682984	0.156664837429027	0.159665346047483	0.287706364755312	0	0	1.37517190407799	0.872001338186267	3.12550598970753	1.69624303938756	0
TRINITY_DN12620_c0_g1	2.59630572331882	4.39878963599667	4.1542924749955	0	0.303407857311538	0.151013232610096	0	1.0914470726591	0.278022532858215	0.142446120162688	0.965439950443656	0	0
TRINITY_DN20839_c0_g1	1.87661805188389	1.81221180202447	1.42255656651567	5.5824131202208	5.92325090239434	5.1333106094764	4.06435693457599	5.3427212151229	3.73626303654386	3.70463966424111	3.54732023995716	6.669950684733	6.25138422084987
TRINITY_DN9133_c0_g1	0	0	0	0.156664837429027	0.767373420640011	0.412561572595496	0	0	0.39922320539762	0	0.145156997785786	0	1.32403075980446
TRINITY_DN25563_c0_g1	0	0	0	1.50350931648817	2.21034768857812	0.995043890187608	0	0	0	0	0	0	0
TRINITY_DN11252_c1_g1	0	0	0	0.544810678395408	0.767373420640011	0.412561572595496	0	1.0914470726591	0	0.272082936867346	0	1.69624303938756	2.00262785266036
TRINITY_DN12888_c0_g1	5.8432724349447	5.51708085883438	5.80476701095041	5.94673369223144	6.00439169176833	5.69991931782438	5.04942222920584	5.07875594275945	5.83563065182012	6.00447841631933	5.91858314689982	5.77540443360053	5.61814118548129
TRINITY_DN14374_c0_g1	0.672477107017765	0	0.246995941713481	7.66370045001299	7.0667439915959	7.56503178737754	6.60504444023986	6.79044668687383	6.69117178423258	6.7239541190191	6.90533477081694	1.69624303938756	3.32508094417519
TRINITY_DN3066_c0_g1	0	0	0	2.39071370003051	1.63529188885111	2.21459658573582	0.72719076380904	0	0.14569816265814	0.698351871693798	0.145156997785786	0	0
TRINITY_DN6023_c0_g1	0	0	0	0.939345288197702	0.553962022508998	0.287706364755312	0	0	0	0	0	0	0
TRINITY_DN21236_c0_g1	6.78865211987117	5.78145829831577	6.49897406125866	5.88366614286816	6.12541269299239	5.52771933679994	5.28591726142026	5.66557957630649	5.99074167104734	5.95465470020825	6.04423031673217	6.31142303694911	6.53484637941603
TRINITY_DN1798_c0_g1	7.31245381661007	6.2387259952676	7.31605496948085	0	0	0	0	0	4.27679417971379	2.14553893017354	4.27932805670255	0	0
TRINITY_DN17910_c12_g24	0.688512869084032	0.906847979096189	2.34274154109709	1.52666903865615	1.47932773691059	1.97403839480505	2.13802506847922	2.4948237077894	1.33136934288374	1.48407782984783	0.811238821573457	4.15232886605131	3.37820492879897
TRINITY_DN1291_c0_g1	0	0	0	0.544810678395408	0.434117364278847	0	0	0	0.278022532858215	0.272082936867346	0	0	1.32403075980446
TRINITY_DN18217_c0_g1	0	0.504502212877683	0.246995941713481	1.71990382567628	1.92928802433326	1.82294522536893	1.20840801858601	1.0914470726591	2.06625329666871	1.02697709626018	1.31145303093951	0	1.32403075980446
TRINITY_DN6440_c0_g2	0	0	0	0.850359838149182	0.664610252652848	0.825739334369767	0	0	0	0	0	0	0
TRINITY_DN21655_c4_g17	0.375071239004999	0	1.08433696029801	2.15095496520779	1.97294990163429	1.46758431129107	1.20840801858601	2.13508495302795	0.968196138689632	1.28281506951708	0.709384103391311	3.31647002829066	2.00262785266036
TRINITY_DN18889_c1_g2	4.01275487499187	3.35190295032936	4.25649332534988	5.8920503886487	5.5968260085767	5.79473854751112	5.46784110797717	5.69736930041426	4.94272308156338	5.22992631233605	4.62705938465272	7.19609930876553	5.37845786879985
TRINITY_DN19510_c1_g1	2.52367673691366	3.22846097076901	3.28931402617449	5.2671335698508	4.97394547565305	5.17797106329042	5.21131160621088	5.02965367419228	4.51669414884235	4.41548156662267	4.29497165379542	5.71514862251012	5.96923104863376
TRINITY_DN21405_c0_g3	1.75498527902498	1.4192881626844	1.20610193408659	1.86325107793225	2.26721888871969	0.633891580355721	0.72719076380904	0	1.37517190407799	0.142446120162688	1.16454951581762	0	0
TRINITY_DN32739_c0_g1	0	0	0.246995941713481	2.80007687249234	3.80633516306832	2.28161387416677	0	0	0.14569816265814	0.272082936867346	0.145156997785786	0	0
TRINITY_DN8376_c0_g1	0	0	0	0.426663736520092	0.159665346047483	0.287706364755312	0	0	0.278022532858215	0.698351871693798	0.145156997785786	0	0
TRINITY_DN21106_c8_g1	7.39111312246105	5.9472429884962	6.78693356810373	0.426663736520092	1.46227221934467	0	0	0	3.64116621680715	2.36485258750053	3.56032376100028	0	0
TRINITY_DN20699_c5_g1	4.36426685249565	4.04347138333967	4.37807782666021	7.50056578323461	7.4638676027984	7.73382960797884	7.54289056015661	7.7690332404325	7.24695476576367	7.51341204277278	7.12800975789537	8.43482086472769	7.40436147592914
TRINITY_DN25571_c0_g1	8.80779542775315	8.13476515106194	8.57507046217642	8.17679128900152	8.03970163824169	8.30902124165562	8.89335813377825	8.89128948912073	8.51830256995671	8.43051167601569	8.44285867167353	5.9423998714719	5.37845786879985
TRINITY_DN18672_c0_g1	3.93086717096931	3.80504965250991	4.50214479683027	6.38722307527961	7.08799642107645	6.07059134943365	5.98331716544729	6.30433740908558	5.43254369605785	5.40973041134738	5.44817242732414	7.30231158514605	6.53484637941603
TRINITY_DN1916_c0_g1	0	0	0	0	0	0.628752731077341	0	0	1.80753467910177	0	0	0	0
TRINITY_DN14746_c0_g2	0	0	0	0.654010292010069	0.953245849896109	0.633891580355721	0	0	0	0.142446120162688	0.277034905338658	0	0
TRINITY_DN16422_c0_g1	4.18748339119808	4.9412471385588	5.31616600475915	6.05772170899243	6.11326964283581	6.37293419042365	5.70382540060338	5.59981820729181	6.29987879425825	6.12735682221574	6.1789021776952	6.42863270330016	6.00344807595655
TRINITY_DN19918_c5_g4	6.31613582284143	7.11614135444735	7.10134988973159	4.39737611714915	4.47132193439741	4.4130672784849	4.36893420459494	3.86498042412873	5.03912801866389	5.39201259282855	5.05218547451388	5.28870981342131	4.13258583018578
