sp_5	sp_6_1	sp_6_2	Em1glen	Em2glen	Em3glen	9_1_1	9_6	MdEm1	MdEm2	MdEm3	8_6	8_7
TRINITY_DN9242_c0_g1	2.2107005626298	1.83228243570098	3.37615144222452	9.88275613754915	9.8898035748109	10.0125588968423	11.1224553043669	10.6096053876668	9.54224063515622	9.51898158464278	9.60077708481298	8.8380409736031	9.97313768434515
TRINITY_DN19555_c0_g1	7.42214047413016	8.00912318954764	7.52875101947424	0.656267534794289	0.975263321678493	0.324234562270531	0	0.929790997718597	2.34141652447872	1.83430670296291	3.73150911478991	2.6073895000244	0
TRINITY_DN18376_c1_g1	6.16081937021302	6.14465824283188	6.25162442447109	4.33906610375942	4.43882511317562	4.77962743990342	5.76969240999509	6.03428175516432	5.99065993975893	5.9442728176116	5.87457567668266	4.44777753695305	4.14608493861619
TRINITY_DN18059_c0_g1	5.69882966020385	6.31674312030907	6.21048627736236	5.35895882583233	5.76314595814948	5.34961297182452	4.64754476970897	5.06725149126822	7.20145743386928	7.1052485406717	7.12055930457884	5.98697970917658	5.16940393414584
TRINITY_DN2328_c0_g1	2.71764900817332	1.2060180040209	2.77357442277131	4.80069286156155	4.7601677095049	5.5018849422925	5.3506386808415	4.93903846963212	7.88714139455826	7.00812604458675	7.35631110524789	0	3.54411440220947
TRINITY_DN11188_c0_g2	0	0	0	2.68795649404448	3.98786654898722	2.04579241851409	0	0	0	0	0	0	0
TRINITY_DN10997_c1_g3	0.495695162624069	0.913798964950696	0.565597175854225	2.5385381636298	2.49518347790833	2.80074462393678	3.19377174339668	3.0492822485682	2.6259717913609	2.74803179557241	2.64869551958324	4.1906148602095	3.10601323762212
TRINITY_DN16193_c0_g1	5.72843755444285	8.33493916278833	7.82687893465137	0	0.100304905795685	0	0	0	1.4125105712498	1.51146803927587	2.60335929188297	3.39588539483069	0
TRINITY_DN12754_c0_g1	2.69777381955519	1.93545974780529	2.93016960815008	0.593592805864596	0.340277404766254	0.177598929327733	0	0	0.385154896884344	0.665392771041891	0.818032474658094	1.4905701304462	0
TRINITY_DN13398_c0_g1	1.25398926623079	0	0.48336436071335	9.9911660886055	8.98743172450602	7.81387736768058	0	1.68436992901301	0.708407983483596	0.696884090855455	1.0496307677246	8.66254733001676	10.3347816591223
TRINITY_DN20836_c1_g2	0	0	0	4.36506258520111	4.63441901939175	4.15088457130503	4.17552460108987	4.19258872156664	3.23924527034378	3.02839234049965	3.17951105027151	3.99240589903165	4.67078369630238
TRINITY_DN19367_c2_g1	7.04919510562227	6.69604947156715	6.74588268890226	5.46476627284845	5.42559357765306	4.76680715130292	1.4340276746636	1.55237707109487	4.57628025762136	3.87046336202581	4.82731094394967	1.67265162932838	0
TRINITY_DN20127_c0_g1	3.17216745005327	3.7952474508048	3.47508488294878	5.83746394539897	6.14590158531945	5.71130216733923	5.1035396022996	5.2175797131278	4.91590327420792	5.04688389751188	4.95563828456078	6.35909943253201	5.68046501837983
TRINITY_DN19066_c3_g9	6.79808940789102	5.71190783277251	5.64281707521914	6.69372390244346	5.81977035374832	6.19892626880616	0	0	6.75880950280372	6.9539403256545	6.99382152181813	0	3.73411345404407
